color_name,rgb
&1,"[61, 64, 68]"
&2,"[186, 84, 127]"
&3,"[214, 122, 173]"
&4,"[255, 176, 255]"
&5,"[0, 126, 197]"
&6,"[0, 137, 207]"
&7,"[75, 198, 199]"
&8,"[0, 168, 168]"
&9,"[213, 61, 58]"
A1,"[86, 64, 80]"
A2,"[97, 106, 166]"
A3,"[127, 79, 138]"
A4,"[115, 91, 94]"
A5,"[124, 108, 165]"
A6,"[142, 147, 197]"
A7,"[168, 180, 219]"
A8,"[184, 175, 216]"
A9,"[202, 200, 214]"
B1,"[71, 64, 62]"
B2,"[91, 77, 68]"
B3,"[109, 87, 72]"
B4,"[94, 98, 88]"
B5,"[128, 104, 86]"
B6,"[194, 157, 97]"
B7,"[139, 103, 79]"
B8,"[158, 103, 59]"
B9,"[147, 121, 98]"
C1,"[181, 110, 69]"
C2,"[255, 235, 18]"
C3,"[224, 185, 72]"
C4,"[235, 182, 101]"
C5,"[227, 188, 51]"
C6,"[255, 243, 136]"
C7,"[255, 254, 180]"
C8,"[223, 220, 171]"
C9,"[232, 230, 193]"
D1,"[79, 49, 39]"
D2,"[121, 85, 78]"
D3,"[118, 90, 81]"
D4,"[172, 117, 113]"
D5,"[172, 140, 116]"
D6,"[170, 134, 100]"
D7,"[189, 148, 119]"
D8,"[201, 183, 176]"
D9,"[223, 216, 205]"
E1,"[50, 76, 73]"
E2,"[32, 105, 103]"
E3,"[74, 99, 68]"
E4,"[90, 103, 89]"
E5,"[134, 172, 136]"
E6,"[100, 135, 103]"
E7,"[193, 191, 61]"
E8,"[149, 151, 87]"
E9,"[156, 168, 142]"
F1,"[18, 22, 23]"
F2,"[84, 93, 99]"
F3,"[92, 101, 106]"
F4,"[84, 87, 91]"
F5,"[116, 122, 127]"
F6,"[119, 128, 134]"
F7,"[100, 110, 97]"
F8,"[160, 160, 158]"
F9,"[254, 255, 249]"
G1,"[12, 26, 46]"
G2,"[53, 67, 132]"
G3,"[91, 101, 130]"
G4,"[0, 99, 178]"
G5,"[0, 126, 191]"
G6,"[168, 219, 252]"
G7,"[131, 219, 245]"
G8,"[175, 202, 224]"
G9,"[206, 219, 232]"
H1,"[17, 107, 186]"
H2,"[85, 90, 127]"
H3,"[90, 142, 180]"
H4,"[97, 143, 152]"
H5,"[121, 138, 134]"
H6,"[192, 212, 194]"
H7,"[89, 115, 125]"
H8,"[102, 132, 158]"
H9,"[198, 209, 213]"
I1,"[147, 79, 55]"
I2,"[179, 87, 83]"
I3,"[211, 112, 70]"
I4,"[255, 147, 18]"
I5,"[222, 105, 97]"
I6,"[244, 137, 104]"
I7,"[206, 154, 161]"
I8,"[228, 224, 225]"
I9,"[237, 213, 199]"
J1,"[99, 75, 68]"
J2,"[106, 71, 86]"
J3,"[211, 124, 122]"
J4,"[231, 171, 173]"
J5,"[194, 158, 151]"
J6,"[228, 213, 210]"
J7,"[252, 137, 81]"
J8,"[239, 231, 242]"
J9,"[232, 227, 224]"
K1,"[205, 190, 83]"
K2,"[207, 200, 176]"
K3,"[225, 206, 177]"
K4,"[223, 190, 142]"
K5,"[213, 198, 169]"
K6,"[255, 239, 163]"
K7,"[205, 194, 174]"
K8,"[198, 202, 212]"
K9,"[243, 194, 78]"
L1,"[233, 137, 86]"
L2,"[254, 173, 93]"
L3,"[255, 181, 78]"
L4,"[226, 187, 128]"
L5,"[218, 164, 130]"
L6,"[253, 181, 139]"
L7,"[209, 192, 180]"
L8,"[228, 189, 159]"
L9,"[231, 192, 158]"
M1,"[221, 156, 109]"
M2,"[240, 168, 116]"
M3,"[238, 204, 166]"
M4,"[252, 230, 210]"
M5,"[249, 218, 193]"
M6,"[240, 209, 184]"
M7,"[229, 198, 173]"
M8,"[220, 183, 155]"
M9,"[217, 178, 146]"
N1,"[234, 167, 118]"
N2,"[239, 179, 138]"
N3,"[245, 191, 151]"
N4,"[236, 194, 148]"
N5,"[222, 206, 194]"
N6,"[230, 214, 202]"
N7,"[227, 205, 190]"
N8,"[221, 203, 185]"
N9,"[219, 186, 164]"
O1,"[218, 232, 242]"
O2,"[186, 225, 250]"
O3,"[143, 207, 248]"
O4,"[202, 229, 236]"
O5,"[126, 193, 238]"
O6,"[0, 173, 225]"
O7,"[0, 123, 153]"
O8,"[0, 125, 171]"
O9,"[0, 146, 195]"
P1,"[148, 119, 77]"
P2,"[154, 136, 87]"
P3,"[200, 189, 152]"
P4,"[115, 138, 90]"
P5,"[170, 164, 67]"
P6,"[205, 216, 147]"
P7,"[85, 124, 92]"
P8,"[92, 183, 127]"
P9,"[150, 200, 167]"
Q1,"[182, 193, 200]"
Q2,"[154, 165, 170]"
Q3,"[225, 234, 239]"
Q4,"[131, 130, 135]"
Q5,"[179, 187, 195]"
Q6,"[211, 211, 213]"
Q7,"[210, 213, 219]"
Q8,"[233, 225, 234]"
Q9,"[166, 187, 208]"
R1,"[160, 122, 98]"
R2,"[182, 146, 124]"
R3,"[200, 154, 126]"
R4,"[190, 156, 142]"
R5,"[169, 127, 74]"
R6,"[148, 125, 102]"
R7,"[173, 145, 119]"
R8,"[179, 127, 71]"
